YEAR,APPRAISED IMPROVEMENTS,APPRAISED LAND,APPRAISED TOTAL,ASSESSED IMPROVEMENTS,ASSESSED LAND, ASSESSED TOTAL,ADDRESS,URL,SALE DATE,SALE PRICE,MODEL,STYLE,LIVING AREA,LAND AREA(SF),NBHD,STORIES,ROOMS,BEDROOMS,BATHS,HALF BATHS
2018,$193700,$440400,$634100,$193700,$440400,$634100,21 HAWTHORNE LN,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3295,10/25/2013,$520000.00,Residential,Bungalow,1206,23485,28,1 Story,6,3 Bedrooms,2,0
2017,$173800,$419400,$593200,$173800,$419400,$593200,21 HAWTHORNE LN,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3295,10/25/2013,$520000.00,Residential,Bungalow,1206,23485,28,1 Story,6,3 Bedrooms,2,0
2016,$157500,$419400,$576900,$157500,$419400,$576900,21 HAWTHORNE LN,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3295,10/25/2013,$520000.00,Residential,Bungalow,1206,23485,28,1 Story,6,3 Bedrooms,2,0
2018,$589900,$631500,$1221400,$589900,$631500,$1221400,42 INDEPENDENCE RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3331,05/06/2013,$1168250.00,Residential,Contemp/Modern,1790,29148,24,1 Story,,3 Bedrooms,3,1
2017,$631300,$579100,$1210400,$631300,$579100,$1210400,42 INDEPENDENCE RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3331,05/06/2013,$1168250.00,Residential,Contemp/Modern,1790,29148,24,1 Story,,3 Bedrooms,3,1
2016,$571400,$579100,$1150500,$571400,$579100,$1150500,42 INDEPENDENCE RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3331,05/06/2013,$1168250.00,Residential,Contemp/Modern,1790,29148,24,1 Story,,3 Bedrooms,3,1
2018,$401900,$396100,$798000,$401900,$396100,$798000,555 LEXINGTON RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3346,06/29/2016,$900000.00,Residential,Old Style,1386,50890,25,2 Stories,8,4 Bedrooms,1,1
2017,$266700,$405400,$672100,$266700,$405400,$672100,555 LEXINGTON RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3346,06/29/2016,$900000.00,Residential,Old Style,1386,50890,25,2 Stories,8,4 Bedrooms,1,1
2016,$252900,$386600,$639500,$252900,$386600,$639500,555 LEXINGTON RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3346,06/29/2016,$900000.00,Residential,Old Style,1386,50890,25,2 Stories,8,4 Bedrooms,1,1
2018,$55100,$392200,$447300,$55100,$392200,$447300,585 LEXINGTON RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3349,05/02/2017,$556000.00,Residential,Old Style,1378,43485,25,1 3/4 Stories,,5 Bedrooms,1,0
2017,$56400,$401600,$458000,$56400,$401600,$458000,585 LEXINGTON RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3349,05/02/2017,$556000.00,Residential,Old Style,1378,43485,25,1 3/4 Stories,,5 Bedrooms,1,0
2016,$50500,$382900,$433400,$50500,$382900,$433400,585 LEXINGTON RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3349,05/02/2017,$556000.00,Residential,Old Style,1378,43485,25,1 3/4 Stories,,5 Bedrooms,1,0
2018,$187600,$351600,$539200,$187600,$351600,$539200,1814 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3456,01/06/2017,$499000.00,Residential,Colonial,1543,61080,29,1 Story,,3 Bedrooms,2,0
2017,$200700,$315600,$516300,$200700,$315600,$516300,1814 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3456,01/06/2017,$499000.00,Residential,Colonial,1543,61080,29,1 Story,,3 Bedrooms,2,0
2016,$185700,$315600,$501300,$185700,$315600,$501300,1814 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3456,01/06/2017,$499000.00,Residential,Colonial,1543,61080,29,1 Story,,3 Bedrooms,2,0
2018,$359400,$287500,$646900,$359400,$287500,$646900,1596 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3483,09/15/2014,$659000.00,Residential,Old Style,1944,9875,30,2.5,7,4 Bedrooms,1,1
2017,$369700,$267000,$636700,$369700,$267000,$636700,1596 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3483,09/15/2014,$659000.00,Residential,Old Style,1944,9875,30,2.5,7,4 Bedrooms,1,1
2016,$342300,$267000,$609300,$342300,$267000,$609300,1596 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3483,09/15/2014,$659000.00,Residential,Old Style,1944,9875,30,2.5,7,4 Bedrooms,1,1
2018,$359400,$287500,$646900,$359400,$287500,$646900,1596 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3483,01/28/2011,$488000.00,Residential,Old Style,1944,9875,30,2.5,7,4 Bedrooms,1,1
2017,$369700,$267000,$636700,$369700,$267000,$636700,1596 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3483,01/28/2011,$488000.00,Residential,Old Style,1944,9875,30,2.5,7,4 Bedrooms,1,1
2016,$342300,$267000,$609300,$342300,$267000,$609300,1596 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3483,01/28/2011,$488000.00,Residential,Old Style,1944,9875,30,2.5,7,4 Bedrooms,1,1
2018,$302500,$269700,$572200,$302500,$269700,$572200,19 DAMON ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3484,09/28/2012,$499000.00,Residential,Old Style,1670,5008,30,2 Stories,7 Rooms,4 Bedrooms,1,1
2017,$309700,$250400,$560100,$309700,$250400,$560100,19 DAMON ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3484,09/28/2012,$499000.00,Residential,Old Style,1670,5008,30,2 Stories,7 Rooms,4 Bedrooms,1,1
2016,$277900,$250400,$528300,$277900,$250400,$528300,19 DAMON ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3484,09/28/2012,$499000.00,Residential,Old Style,1670,5008,30,2 Stories,7 Rooms,4 Bedrooms,1,1
2018,$351800,$271400,$623200,$351800,$271400,$623200,20 DAMON ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3497,07/30/2014,$655000.00,Residential,Old Style,1825,5487,30,1 3/4 Stories,7,3 Bedrooms,2,1
2017,$358900,$252000,$610900,$358900,$252000,$610900,20 DAMON ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3497,07/30/2014,$655000.00,Residential,Old Style,1825,5487,30,1 3/4 Stories,7,3 Bedrooms,2,1
2016,$329700,$252000,$581700,$329700,$252000,$581700,20 DAMON ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3497,07/30/2014,$655000.00,Residential,Old Style,1825,5487,30,1 3/4 Stories,7,3 Bedrooms,2,1
2018,$195100,$362700,$557800,$195100,$362700,$557800,59 WESTVALE DR,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3516,07/21/2014,$505000.00,Residential,Ranch,1300,10436,28,1 Story,6,3 Bedrooms,2,0
2017,$172700,$345400,$518100,$172700,$345400,$518100,59 WESTVALE DR,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3516,07/21/2014,$505000.00,Residential,Ranch,1300,10436,28,1 Story,6,3 Bedrooms,2,0
2016,$150200,$345400,$495600,$150200,$345400,$495600,59 WESTVALE DR,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3516,07/21/2014,$505000.00,Residential,Ranch,1300,10436,28,1 Story,6,3 Bedrooms,2,0
2018,$196700,$339000,$535700,$196700,$339000,$535700,1763 MAIN ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3545,06/22/2012,$405000.00,Residential,Ranch,1394,20019,30,1 Story,6,3 Bedrooms,1,1
